StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            18           30           0            0            1000         0
D2           0            8            -29          0            0            1000         0
P1           0            -6           20           0            0            1000         0
P2           0            -22          4            0            0            1000         0
P3           0            1            -24          0            0            1000         0
S1           0            -6           20           0            0            1000         10
S2           0            -22          4            0            0            1000         10
S3           0            1            -24          0            0            1000         10
C1           D1           -11          11           19           146          166          10
C2           D1           0            -3           13           57           77           10
C3           D2           23           -16          16           72           92           10
C4           D1           -1           11           8            88           108          10
C5           D2           -9           10           5            105          125          10
C6           D2           -3           -19          15           144          164          10
C7           D2           -4           -5           21           58           78           10
C8           D2           -8           15           16           46           66           10
C9           D2           0            -7           19           22           42           10
C10          D2           4            -3           6            175          195          10
C11          D2           -5           9            24           207          227          10
C12          D1           -18          17           23           44           64           10
C13          D1           -20          7            17           213          233          10
C14          D2           10           -23          20           170          190          10
C15          D2           16           -23          12           254          274          10
C16          D2           -9           24           21           91           111          10
C17          D2           0            10           10           185          205          10
C18          D2           3            -1           16           152          172          10
C19          D2           -20          19           5            151          171          10
C20          D2           -20          4            11           230          250          10
C21          D1           -1           -11          9            247          267          10
C22          D1           19           14           13           231          251          10
C23          D1           -14          25           25           214          234          10
C24          D1           -7           -11          6            235          255          10
C25          D2           9            -10          9            28           48           10
C26          D2           -23          12           25           141          161          10
C27          D2           21           20           20           67           87           10
C28          D1           4            2            17           182          202          10
C29          D2           -20          4            7            55           75           10
C30          D1           2            5            13           174          194          10
C31          D1           1            0            16           136          156          10
C32          D1           26           -5           11           107          127          10
C33          D2           -5           23           11           83           103          10
C34          D1           15           -18          9            240          260          10
C35          D2           17           -14          25           140          160          10
C36          D2           -12          4            24           201          221          10
C37          D1           -17          -10          13           248          268          10
C38          D2           6            -6           6            251          271          10
C39          D2           17           5            8            217          237          10
C40          D2           -12          14           22           155          175          10
C41          D1           15           -18          19           181          201          10
C42          D1           -8           -4           9            73           93           10
C43          D1           -2           22           22           179          199          10
C44          D1           4            23           22           245          265          10
C45          D2           1            3            18           44           64           10
C46          D2           -10          16           15           156          176          10
C47          D1           8            7            8            123          143          10
C48          D1           6            -2           15           72           92           10
C49          D1           4            -26          25           217          237          10
C50          D1           -16          -4           10           252          272          10
C51          D1           0            -1           19           165          185          10
C52          D2           -6           -12          14           143          163          10
C53          D2           2            6            12           45           65           10
C54          D2           -2           0            5            29           49           10
C55          D1           -7           -1           17           66           86           10
C56          D1           -8           17           5            57           77           10
C57          D2           20           -9           17           51           71           10
C58          D2           -17          8            20           224          244          10
C59          D2           16           -8           5            61           81           10
C60          D1           6            -1           16           55           75           10
C61          D1           0            15           21           47           67           10
C62          D1           3            5            11           116          136          10
C63          D2           -1           -9           15           233          253          10
C64          D2           -1           -3           20           82           102          10
C65          D1           27           10           13           107          127          10
C66          D2           3            -1           24           140          160          10
C67          D1           -1           5            20           175          195          10
C68          D1           3            -2           17           121          141          10
C69          D2           -6           -11          7            48           68           10
C70          D2           -5           -25          5            46           66           10
C71          D1           0            0            9            93           113          10
C72          D2           -22          19           7            178          198          10
C73          D1           15           -13          6            189          209          10
C74          D1           -6           0            13           46           66           10
C75          D2           8            8            24           258          278          10
C76          D2           13           -9           7            34           54           10
C77          D1           -16          19           11           216          236          10
C78          D1           13           5            19           109          129          10
C79          D2           -6           -3           23           110          130          10
C80          D2           6            -15          20           125          145          10
C81          D1           -19          -9           18           220          240          10
C82          D1           -17          -9           24           59           79           10
C83          D2           10           0            18           135          155          10
C84          D1           4            12           10           194          214          10
C85          D1           -1           0            11           162          182          10
C86          D2           -8           -14          5            247          267          10
C87          D2           29           5            17           45           65           10
C88          D1           6            -18          25           219          239          10
C89          D1           7            25           13           47           67           10
C90          D2           -2           -4           14           250          270          10
C91          D1           -7           5            16           123          143          10
C92          D1           9            12           12           225          245          10
C93          D1           -12          -5           5            183          203          10
C94          D1           22           2            5            118          138          10
C95          D1           8            -13          15           123          143          10
C96          D2           1            -11          7            64           84           10
C97          D2           -7           -10          24           29           49           10
C98          D1           -5           21           22           29           49           10
C99          D2           13           -20          16           209          229          10
C100         D1           17           2            25           77           97           10

Problem Variant                             : 3M-2E-VRP
Distance Metric                             : FLOOR_EUCLIDEAN_DIVISOR
Distance Divisor                            : 6.0
Customer Locations as Transfer Points       : true

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 1000
First Echelon Vehicle Velocity (km/h)       : 10
First Echelon Vehicle Fixed Cost            : 60
First Echelon Vehicle Fixed Cost Basis      : PER_DAY
First Echelon Vehicle Variable Cost (€/h)   : 15
First Echelon Vehicle Fuel Cost (€/km)      : 0.56

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 100
Second Echelon Vehicle Velocity (km/h)      : 15
Second Echelon Vehicle Fixed Cost           : 20
Second Echelon Vehicle Fixed Cost Basis     : PER_DAY
Second Echelon Vehicle Variable Cost (€/h)  : 10
Second Echelon Vehicle Fuel Cost (€/km)     : 0.028
