StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            -15          35           0            0            1000         0
D2           0            1            -33          0            0            1000         0
P1           0            23           4            0            0            1000         0
P2           0            -19          -16          0            0            1000         0
P3           0            6            -23          0            0            1000         0
S1           0            23           4            0            0            1000         10
S2           0            -19          -16          0            0            1000         10
S3           0            6            -23          0            0            1000         10
C1           D1           -24          -2           12           247          267          10
C2           D1           -2           -13          20           161          181          10
C3           D1           19           11           17           102          122          10
C4           D1           -2           3            9            107          127          10
C5           D2           7            20           23           141          161          10
C6           D2           -1           -18          25           224          244          10
C7           D1           4            -6           10           123          143          10
C8           D2           -6           -1           5            167          187          10
C9           D2           8            12           8            121          141          10
C10          D2           8            9            13           185          205          10
C11          D1           17           16           20           151          171          10
C12          D2           -13          -2           22           73           93           10
C13          D1           15           0            13           256          276          10
C14          D1           6            -19          13           218          238          10
C15          D2           8            2            12           40           60           10
C16          D2           -20          8            13           196          216          10
C17          D1           -2           -2           11           83           103          10
C18          D2           -6           -15          7            174          194          10
C19          D2           2            10           13           181          201          10
C20          D1           14           8            13           149          169          10
C21          D2           1            -7           23           43           63           10
C22          D2           -4           -1           16           152          172          10
C23          D2           -1           17           14           237          257          10
C24          D2           -13          12           5            250          270          10
C25          D2           16           8            6            152          172          10
C26          D2           28           -10          21           77           97           10
C27          D2           -17          -21          21           70           90           10
C28          D2           -11          13           6            88           108          10
C29          D2           -10          18           12           151          171          10
C30          D1           18           -5           16           226          246          10
C31          D2           -12          13           8            141          161          10
C32          D2           5            -5           5            183          203          10
C33          D1           -19          -21          18           182          202          10
C34          D1           18           -17          12           196          216          10
C35          D1           5            -1           5            109          129          10
C36          D1           -14          24           24           200          220          10
C37          D2           6            -11          17           176          196          10
C38          D2           -20          8            15           67           87           10
C39          D2           -7           -2           15           34           54           10
C40          D2           -16          4            24           162          182          10
C41          D1           -23          9            11           244          264          10
C42          D2           -18          14           12           193          213          10
C43          D2           -4           -28          5            36           56           10
C44          D2           -11          -7           17           43           63           10
C45          D1           9            8            17           201          221          10
C46          D1           19           11           7            133          153          10
C47          D1           2            2            6            121          141          10
C48          D1           -14          -21          22           179          199          10
C49          D1           -27          10           10           206          226          10
C50          D2           13           -20          12           147          167          10
C51          D1           4            23           16           117          137          10
C52          D1           -2           -3           10           125          145          10
C53          D2           1            -2           23           233          253          10
C54          D2           -1           22           16           223          243          10
C55          D1           18           2            22           154          174          10
C56          D2           11           13           8            53           73           10
C57          D2           0            1            12           186          206          10
C58          D1           20           -19          21           114          134          10
C59          D2           0            1            16           134          154          10
C60          D1           6            -5           21           133          153          10
C61          D1           -8           -12          17           171          191          10
C62          D2           -10          5            21           160          180          10
C63          D2           -17          -23          25           92           112          10
C64          D1           -5           -25          19           79           99           10
C65          D2           -4           5            13           162          182          10
C66          D2           -14          14           17           199          219          10
C67          D1           9            -4           18           88           108          10
C68          D2           29           6            6            75           95           10
C69          D1           -2           16           21           178          198          10
C70          D2           -8           -4           8            144          164          10
C71          D2           19           -19          19           32           52           10
C72          D1           -9           2            11           191          211          10
C73          D1           -1           -5           10           169          189          10
C74          D1           12           25           23           67           87           10
C75          D2           -18          -3           5            42           62           10
C76          D1           -5           14           9            234          254          10
C77          D1           -7           -19          24           194          214          10
C78          D2           -2           -7           22           81           101          10
C79          D2           0            0            5            100          120          10
C80          D2           9            4            19           57           77           10
C81          D1           -14          -6           13           79           99           10
C82          D1           18           2            19           110          130          10
C83          D2           -5           20           23           53           73           10
C84          D1           18           -7           6            252          272          10
C85          D1           -5           -7           22           154          174          10
C86          D1           26           -8           12           244          264          10
C87          D2           9            13           14           193          213          10
C88          D1           -7           15           19           239          259          10
C89          D1           -3           28           5            230          250          10
C90          D2           2            1            9            241          261          10
C91          D2           6            15           16           238          258          10
C92          D1           -20          -8           18           86           106          10
C93          D2           17           -1           19           257          277          10
C94          D1           -3           -2           25           161          181          10
C95          D1           4            -16          23           71           91           10
C96          D2           27           8            23           210          230          10
C97          D2           1            -1           25           47           67           10
C98          D1           -16          -7           24           233          253          10
C99          D2           -18          19           20           68           88           10
C100         D1           22           -3           8            90           110          10

Problem Variant                             : 3M-2E-VRP
Distance Metric                             : FLOOR_EUCLIDEAN_DIVISOR
Distance Divisor                            : 6.0
Customer Locations as Transfer Points       : true

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 1000
First Echelon Vehicle Velocity (km/h)       : 10
First Echelon Vehicle Fixed Cost            : 60
First Echelon Vehicle Fixed Cost Basis      : PER_DAY
First Echelon Vehicle Variable Cost (€/h)   : 15
First Echelon Vehicle Fuel Cost (€/km)      : 0.56

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 100
Second Echelon Vehicle Velocity (km/h)      : 15
Second Echelon Vehicle Fixed Cost           : 20
Second Echelon Vehicle Fixed Cost Basis     : PER_DAY
Second Echelon Vehicle Variable Cost (€/h)  : 10
Second Echelon Vehicle Fuel Cost (€/km)     : 0.028
