StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            10           32           0            0            1000         0
D2           0            -34          19           0            0            1000         0
D3           0            22           -28          0            0            1000         0
P1           0            15           19           0            0            1000         0
P2           0            -4           22           0            0            1000         0
P3           0            -21          -2           0            0            1000         0
P4           0            -13          -18          0            0            1000         0
P5           0            24           -7           0            0            1000         0
S1           0            15           19           0            0            1000         10
S2           0            -4           22           0            0            1000         10
S3           0            -21          -2           0            0            1000         10
S4           0            -13          -18          0            0            1000         10
S5           0            24           -7           0            0            1000         10
C1           D2           -6           -6           7            196          216          10
C2           D2           -14          -2           14           76           96           10
C3           D1           6            6            12           146          166          10
C4           D3           -8           -10          9            155          175          10
C5           D3           12           1            9            139          159          10
C6           D2           9            -12          24           188          208          10
C7           D3           1            28           16           239          259          10
C8           D3           3            1            20           242          262          10
C9           D3           4            -27          16           46           66           10
C10          D1           1            -12          21           193          213          10
C11          D3           -15          1            24           186          206          10
C12          D2           -10          9            21           73           93           10
C13          D1           -14          20           22           37           57           10
C14          D3           7            -9           22           29           49           10
C15          D1           -25          -10          18           144          164          10
C16          D1           -14          12           10           22           42           10
C17          D1           12           9            11           29           49           10
C18          D2           -6           9            19           113          133          10
C19          D1           -1           -20          19           143          163          10
C20          D3           26           12           14           174          194          10
C21          D3           7            -8           21           200          220          10
C22          D2           -2           21           5            257          277          10
C23          D2           -21          -16          25           72           92           10
C24          D3           21           2            19           211          231          10
C25          D3           27           -6           23           69           89           10
C26          D1           6            11           6            33           53           10
C27          D2           12           27           5            69           89           10
C28          D1           -15          9            13           194          214          10
C29          D1           -10          16           24           70           90           10
C30          D3           9            -5           6            242          262          10
C31          D3           15           -23          24           86           106          10
C32          D1           20           9            13           249          269          10
C33          D1           3            6            18           192          212          10
C34          D3           26           -11          18           78           98           10
C35          D3           3            26           11           140          160          10
C36          D3           -1           2            21           118          138          10
C37          D3           9            -17          19           163          183          10
C38          D3           0            1            16           212          232          10
C39          D1           -6           0            7            60           80           10
C40          D1           -15          21           16           68           88           10
C41          D3           -4           -3           13           249          269          10
C42          D3           -9           17           10           153          173          10
C43          D2           -14          3            9            51           71           10
C44          D2           -2           21           19           233          253          10
C45          D1           -1           2            5            198          218          10
C46          D1           17           11           10           164          184          10
C47          D1           -13          -11          20           111          131          10
C48          D3           11           -14          13           119          139          10
C49          D2           -12          12           21           176          196          10
C50          D1           -27          3            17           92           112          10
C51          D1           2            -3           23           202          222          10
C52          D3           -2           -9           15           178          198          10
C53          D3           25           -5           18           62           82           10
C54          D2           1            -13          18           129          149          10
C55          D1           9            -23          15           227          247          10
C56          D1           6            -24          12           155          175          10
C57          D2           6            10           19           96           116          10
C58          D3           -24          -9           13           163          183          10
C59          D2           8            -3           6            152          172          10
C60          D3           11           -23          23           232          252          10
C61          D3           10           -4           13           194          214          10
C62          D3           -22          -11          16           56           76           10
C63          D2           -5           -3           14           154          174          10
C64          D3           15           9            11           36           56           10
C65          D1           7            14           11           34           54           10
C66          D2           18           9            18           55           75           10
C67          D2           10           -3           12           237          257          10
C68          D1           -1           -1           9            171          191          10
C69          D3           2            -3           23           108          128          10
C70          D3           -3           2            9            95           115          10
C71          D1           6            -4           7            89           109          10
C72          D3           12           3            22           79           99           10
C73          D2           6            13           11           255          275          10
C74          D3           0            0            12           131          151          10
C75          D2           -18          4            16           231          251          10
C76          D3           -9           -17          18           78           98           10
C77          D1           5            -13          5            102          122          10
C78          D1           -4           1            11           167          187          10
C79          D2           16           22           5            66           86           10
C80          D2           24           -5           19           165          185          10
C81          D2           2            -3           19           168          188          10
C82          D3           22           11           23           124          144          10
C83          D2           -2           15           11           189          209          10
C84          D2           3            -8           20           69           89           10
C85          D1           0            0            22           55           75           10
C86          D2           9            10           6            240          260          10
C87          D3           -11          -7           19           204          224          10
C88          D2           16           -20          17           159          179          10
C89          D2           0            0            6            49           69           10
C90          D3           -2           29           13           215          235          10
C91          D2           26           5            12           115          135          10
C92          D1           -19          -13          22           152          172          10
C93          D1           16           1            13           37           57           10
C94          D2           2            0            25           95           115          10
C95          D2           -9           -9           6            76           96           10
C96          D3           15           -23          6            34           54           10
C97          D1           -19          7            13           81           101          10
C98          D3           -17          -15          8            166          186          10
C99          D3           -10          -8           5            101          121          10
C100         D1           11           -8           11           235          255          10

Problem Variant                             : 3M-2E-VRP
Distance Metric                             : FLOOR_EUCLIDEAN_DIVISOR
Distance Divisor                            : 6.0
Customer Locations as Transfer Points       : true

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 1000
First Echelon Vehicle Velocity (km/h)       : 10
First Echelon Vehicle Fixed Cost            : 60
First Echelon Vehicle Fixed Cost Basis      : PER_DAY
First Echelon Vehicle Variable Cost (€/h)   : 15
First Echelon Vehicle Fuel Cost (€/km)      : 0.56

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 100
Second Echelon Vehicle Velocity (km/h)      : 15
Second Echelon Vehicle Fixed Cost           : 20
Second Echelon Vehicle Fixed Cost Basis     : PER_DAY
Second Echelon Vehicle Variable Cost (€/h)  : 10
Second Echelon Vehicle Fuel Cost (€/km)     : 0.028
