StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            26           15           0            0            1000         0
D2           0            -39          2            0            0            1000         0
D3           0            27           -14          0            0            1000         0
P1           0            14           15           0            0            1000         0
P2           0            -8           19           0            0            1000         0
P3           0            -23          2            0            0            1000         0
P4           0            6            -21          0            0            1000         0
P5           0            23           -8           0            0            1000         0
S1           0            14           15           0            0            1000         10
S2           0            -8           19           0            0            1000         10
S3           0            -23          2            0            0            1000         10
S4           0            6            -21          0            0            1000         10
S5           0            23           -8           0            0            1000         10
C1           D3           1            0            10           195          215          10
C2           D3           20           17           10           45           65           10
C3           D2           0            3            20           167          187          10
C4           D3           3            -5           20           142          162          10
C5           D3           -14          19           10           147          167          10
C6           D1           -15          -25          10           183          203          10
C7           D1           8            -1           10           176          196          10
C8           D3           3            -6           10           181          201          10
C9           D3           0            -11          10           255          275          10
C10          D3           -4           -1           20           67           87           10
C11          D2           -15          -15          20           82           102          10
C12          D2           27           6            20           208          228          10
C13          D3           3            8            10           239          259          10
C14          D2           -18          15           10           33           53           10
C15          D3           -16          -15          10           44           64           10
C16          D1           6            20           20           22           42           10
C17          D3           0            0            10           213          233          10
C18          D3           21           8            20           121          141          10
C19          D3           -3           24           10           251          271          10
C20          D3           11           -26          10           80           100          10
C21          D2           7            10           10           194          214          10
C22          D3           -6           -21          10           59           79           10
C23          D3           2            -1           20           187          207          10
C24          D2           -1           23           10           39           59           10
C25          D3           4            2            20           90           110          10
C26          D2           22           2            20           211          231          10
C27          D1           18           -2           10           55           75           10
C28          D2           6            3            20           184          204          10
C29          D1           0            5            20           157          177          10
C30          D1           -14          10           20           119          139          10
C31          D2           -2           1            20           44           64           10
C32          D3           24           13           10           209          229          10
C33          D1           0            4            10           33           53           10
C34          D1           2            3            20           167          187          10
C35          D3           1            -28          10           73           93           10
C36          D3           -4           -4           10           168          188          10
C37          D3           -3           24           10           155          175          10
C38          D3           1            -30          20           131          151          10
C39          D1           1            2            10           258          278          10
C40          D2           -3           -27          20           213          233          10
C41          D3           -9           11           20           72           92           10
C42          D1           7            -22          10           119          139          10
C43          D1           3            -6           10           174          194          10
C44          D2           -4           17           10           105          125          10
C45          D2           -11          -12          10           101          121          10
C46          D2           -17          4            10           79           99           10
C47          D2           5            3            10           39           59           10
C48          D2           0            0            20           155          175          10
C49          D2           -22          10           10           121          141          10
C50          D2           -13          -4           20           22           42           10
C51          D1           -15          -9           10           225          245          10
C52          D3           2            -18          20           251          271          10
C53          D2           -28          -1           10           30           50           10
C54          D2           -7           -22          10           250          270          10
C55          D1           -1           0            20           37           57           10
C56          D1           -25          -5           10           83           103          10
C57          D2           4            27           20           217          237          10
C58          D1           -21          -11          20           137          157          10
C59          D3           -12          -20          20           101          121          10
C60          D2           4            -23          20           87           107          10
C61          D3           -1           -15          10           101          121          10
C62          D1           25           13           20           36           56           10
C63          D1           19           -23          10           188          208          10
C64          D1           -11          -5           10           230          250          10
C65          D1           6            19           10           41           61           10
C66          D1           -10          1            10           66           86           10
C67          D2           5            -4           20           159          179          10
C68          D3           3            -1           10           237          257          10
C69          D1           0            0            20           117          137          10
C70          D2           -4           -7           20           92           112          10
C71          D2           18           -23          10           191          211          10
C72          D3           1            3            20           51           71           10
C73          D2           -5           -1           20           119          139          10
C74          D1           -5           16           10           195          215          10
C75          D2           -6           27           20           40           60           10
C76          D2           22           -16          20           67           87           10
C77          D2           -1           10           20           246          266          10
C78          D1           29           -2           10           175          195          10
C79          D3           -11          13           20           228          248          10
C80          D2           1            22           10           147          167          10
C81          D2           17           7            20           139          159          10
C82          D1           -22          -4           10           256          276          10
C83          D1           14           8            10           108          128          10
C84          D2           15           24           10           90           110          10
C85          D3           3            -15          10           58           78           10
C86          D2           0            0            10           109          129          10
C87          D1           -2           1            10           247          267          10
C88          D3           -14          0            20           99           119          10
C89          D3           -7           7            20           153          173          10
C90          D2           3            3            20           41           61           10
C91          D2           -4           -12          20           252          272          10
C92          D2           1            9            20           40           60           10
C93          D2           14           14           20           207          227          10
C94          D3           2            9            20           259          279          10
C95          D2           -8           5            10           196          216          10
C96          D3           -11          -24          10           155          175          10
C97          D1           0            -24          20           98           118          10
C98          D2           -25          -3           10           131          151          10
C99          D2           3            -13          20           124          144          10
C100         D2           -13          -9           10           77           97           10

Problem Variant                             : DELLAERT-2E-VRP
Distance Metric                             : RAW_EUCLIDEAN
Distance Divisor                            : 1.0
Customer Locations as Transfer Points       : false

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 200
First Echelon Vehicle Velocity (km/h)       : 60
First Echelon Vehicle Fixed Cost            : 50
First Echelon Vehicle Fixed Cost Basis      : PER_TOUR
First Echelon Vehicle Variable Cost (€/h)   : 0
First Echelon Vehicle Fuel Cost (€/km)      : 1.0

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 50
Second Echelon Vehicle Velocity (km/h)      : 60
Second Echelon Vehicle Fixed Cost           : 25
Second Echelon Vehicle Fixed Cost Basis     : PER_TOUR
Second Echelon Vehicle Variable Cost (€/h)  : 0
Second Echelon Vehicle Fuel Cost (€/km)     : 1.0
