StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            14           32           0            0            1000         0
D2           0            -19          -24          0            0            1000         0
D3           0            -5           -30          0            0            1000         0
P1           0            18           15           0            0            1000         0
P2           0            -15          14           0            0            1000         0
P3           0            -19          11           0            0            1000         0
P4           0            -8           -23          0            0            1000         0
P5           0            21           -9           0            0            1000         0
S1           0            18           15           0            0            1000         10
S2           0            -15          14           0            0            1000         10
S3           0            -19          11           0            0            1000         10
S4           0            -8           -23          0            0            1000         10
S5           0            21           -9           0            0            1000         10
C1           D3           -1           -2           10           104          124          10
C2           D1           -17          11           20           227          247          10
C3           D2           -6           -2           10           84           104          10
C4           D3           -5           21           20           197          217          10
C5           D3           11           18           10           83           103          10
C6           D3           -7           4            10           148          168          10
C7           D2           -1           18           20           176          196          10
C8           D3           1            3            20           239          259          10
C9           D2           -1           -6           10           107          127          10
C10          D2           -24          15           10           44           64           10
C11          D2           -11          18           10           94           114          10
C12          D2           -21          -9           20           40           60           10
C13          D3           4            -3           20           199          219          10
C14          D3           14           12           20           220          240          10
C15          D1           -7           1            10           70           90           10
C16          D2           -1           -2           20           212          232          10
C17          D1           1            4            20           254          274          10
C18          D3           -2           1            20           50           70           10
C19          D1           11           20           10           36           56           10
C20          D1           -18          10           20           104          124          10
C21          D2           2            -18          10           67           87           10
C22          D3           -4           27           20           158          178          10
C23          D3           -11          25           20           87           107          10
C24          D3           17           6            20           99           119          10
C25          D2           27           -4           20           97           117          10
C26          D3           12           0            20           166          186          10
C27          D1           30           0            10           229          249          10
C28          D1           -12          -24          20           221          241          10
C29          D3           0            4            20           88           108          10
C30          D2           -12          10           20           191          211          10
C31          D3           3            4            10           148          168          10
C32          D3           24           5            10           70           90           10
C33          D2           -3           -6           10           100          120          10
C34          D2           16           16           20           60           80           10
C35          D3           5            6            10           192          212          10
C36          D2           6            22           20           88           108          10
C37          D2           -7           -18          10           125          145          10
C38          D3           -7           -3           20           112          132          10
C39          D2           -14          -18          20           207          227          10
C40          D3           -3           29           10           92           112          10
C41          D1           5            -18          20           183          203          10
C42          D2           -14          6            20           212          232          10
C43          D2           7            21           10           68           88           10
C44          D2           21           -3           20           89           109          10
C45          D1           5            24           20           210          230          10
C46          D2           -14          2            20           96           116          10
C47          D3           18           -13          10           230          250          10
C48          D2           -4           0            10           34           54           10
C49          D3           -9           -9           20           186          206          10
C50          D2           8            12           20           98           118          10
C51          D2           16           19           20           126          146          10
C52          D1           6            1            10           202          222          10
C53          D1           0            -1           10           50           70           10
C54          D2           -1           1            20           87           107          10
C55          D1           -1           12           10           186          206          10
C56          D3           -16          -7           20           250          270          10
C57          D3           -9           17           20           99           119          10
C58          D2           2            1            20           218          238          10
C59          D3           0            6            20           28           48           10
C60          D1           -20          0            10           102          122          10
C61          D1           -1           15           10           210          230          10
C62          D3           12           5            20           145          165          10
C63          D3           -8           4            10           26           46           10
C64          D3           -10          10           20           244          264          10
C65          D1           2            -3           10           39           59           10
C66          D3           -5           -2           20           39           59           10
C67          D2           17           19           20           253          273          10
C68          D1           -16          -7           10           230          250          10
C69          D2           1            5            10           181          201          10
C70          D1           13           -3           10           70           90           10
C71          D3           -7           3            20           155          175          10
C72          D3           1            0            20           216          236          10
C73          D2           13           0            20           243          263          10
C74          D3           -7           -2           10           258          278          10
C75          D1           -2           -28          20           165          185          10
C76          D2           -12          -1           10           213          233          10
C77          D1           17           14           20           40           60           10
C78          D1           15           8            10           225          245          10
C79          D3           -9           -7           10           210          230          10
C80          D1           -2           15           10           208          228          10
C81          D2           -20          18           20           89           109          10
C82          D2           -5           -2           20           32           52           10
C83          D1           -12          26           10           153          173          10
C84          D2           -6           -18          10           173          193          10
C85          D2           -1           21           10           199          219          10
C86          D3           20           -8           20           203          223          10
C87          D2           0            0            20           250          270          10
C88          D2           -5           -2           20           208          228          10
C89          D3           -21          4            20           239          259          10
C90          D2           -3           -13          20           197          217          10
C91          D1           -20          3            20           181          201          10
C92          D1           -22          -7           10           108          128          10
C93          D2           0            -9           20           191          211          10
C94          D1           -3           -10          20           134          154          10
C95          D1           -23          -9           20           259          279          10
C96          D1           8            0            10           253          273          10
C97          D3           -20          -3           20           230          250          10
C98          D1           -14          -25          10           259          279          10
C99          D3           1            2            10           250          270          10
C100         D1           -11          -6           20           242          262          10

Problem Variant                             : DELLAERT-2E-VRP
Distance Metric                             : RAW_EUCLIDEAN
Distance Divisor                            : 1.0
Customer Locations as Transfer Points       : false

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 200
First Echelon Vehicle Velocity (km/h)       : 60
First Echelon Vehicle Fixed Cost            : 50
First Echelon Vehicle Fixed Cost Basis      : PER_TOUR
First Echelon Vehicle Variable Cost (€/h)   : 0
First Echelon Vehicle Fuel Cost (€/km)      : 1.0

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 50
Second Echelon Vehicle Velocity (km/h)      : 60
Second Echelon Vehicle Fixed Cost           : 25
Second Echelon Vehicle Fixed Cost Basis     : PER_TOUR
Second Echelon Vehicle Variable Cost (€/h)  : 0
Second Echelon Vehicle Fuel Cost (€/km)     : 1.0
