StringID     DepotID      x            y            demand       ReadyTime    DueDate      ServiceTime
D1           0            29           13           0            0            1000         0
D2           0            -23          21           0            0            1000         0
D3           0            9            -34          0            0            1000         0
P1           0            20           14           0            0            1000         0
P2           0            5            22           0            0            1000         0
P3           0            -21          -12          0            0            1000         0
P4           0            -14          -19          0            0            1000         0
P5           0            21           -10          0            0            1000         0
S1           0            20           14           0            0            1000         10
S2           0            5            22           0            0            1000         10
S3           0            -21          -12          0            0            1000         10
S4           0            -14          -19          0            0            1000         10
S5           0            21           -10          0            0            1000         10
C1           D2           -4           0            20           201          221          10
C2           D2           2            1            10           172          192          10
C3           D3           2            8            10           210          230          10
C4           D2           -15          0            10           71           91           10
C5           D1           -4           -2           20           65           85           10
C6           D2           -3           12           20           127          147          10
C7           D2           -18          14           10           258          278          10
C8           D3           -15          7            20           182          202          10
C9           D2           6            18           20           162          182          10
C10          D2           -6           8            10           206          226          10
C11          D1           -7           -20          20           217          237          10
C12          D3           -3           5            10           119          139          10
C13          D1           0            -3           20           226          246          10
C14          D2           -15          2            10           49           69           10
C15          D3           12           -7           20           250          270          10
C16          D1           -16          16           20           60           80           10
C17          D1           -5           -3           10           259          279          10
C18          D3           13           18           10           85           105          10
C19          D2           -17          -15          20           213          233          10
C20          D1           2            17           20           38           58           10
C21          D2           -6           -3           10           100          120          10
C22          D2           -14          -5           20           140          160          10
C23          D2           -10          -2           20           174          194          10
C24          D3           -14          4            10           222          242          10
C25          D1           -21          9            20           183          203          10
C26          D2           22           0            20           199          219          10
C27          D1           20           1            20           229          249          10
C28          D2           21           -3           10           246          266          10
C29          D1           -1           18           20           151          171          10
C30          D2           -11          10           10           215          235          10
C31          D3           -21          4            10           56           76           10
C32          D1           -9           -1           10           209          229          10
C33          D2           6            -5           20           92           112          10
C34          D1           -14          -10          10           148          168          10
C35          D3           6            -12          10           167          187          10
C36          D1           1            0            10           247          267          10
C37          D2           -15          10           20           112          132          10
C38          D1           11           -2           20           256          276          10
C39          D1           14           -12          10           31           51           10
C40          D3           29           6            10           91           111          10
C41          D2           -21          -1           20           133          153          10
C42          D3           0            -11          20           177          197          10
C43          D1           11           -10          20           36           56           10
C44          D3           -4           8            10           76           96           10
C45          D1           13           1            10           184          204          10
C46          D3           -27          3            10           175          195          10
C47          D3           6            -15          10           102          122          10
C48          D3           15           16           10           225          245          10
C49          D2           1            7            20           202          222          10
C50          D3           -29          7            20           224          244          10
C51          D1           25           -14          20           195          215          10
C52          D1           -7           -13          10           56           76           10
C53          D1           -17          5            10           79           99           10
C54          D2           7            20           20           52           72           10
C55          D3           10           14           10           142          162          10
C56          D2           -25          -14          10           61           81           10
C57          D1           0            0            10           185          205          10
C58          D1           3            -6           10           151          171          10
C59          D2           -12          -3           20           149          169          10
C60          D1           -2           2            10           78           98           10
C61          D3           -15          -2           10           215          235          10
C62          D1           -5           -2           10           136          156          10
C63          D2           -3           -13          20           132          152          10
C64          D3           3            -14          20           53           73           10
C65          D3           -5           -9           10           194          214          10
C66          D3           15           11           20           234          254          10
C67          D2           0            4            20           236          256          10
C68          D1           -17          17           20           84           104          10
C69          D1           -14          17           10           40           60           10
C70          D1           12           11           10           125          145          10
C71          D3           3            11           10           164          184          10
C72          D3           4            -14          20           227          247          10
C73          D3           2            16           10           92           112          10
C74          D1           -9           -16          10           193          213          10
C75          D1           -27          7            10           179          199          10
C76          D1           -8           17           20           63           83           10
C77          D2           -27          -6           20           191          211          10
C78          D1           -20          -17          20           126          146          10
C79          D1           1            8            10           194          214          10
C80          D1           -2           12           10           177          197          10
C81          D3           -2           -1           10           209          229          10
C82          D1           11           6            20           161          181          10
C83          D3           -5           2            20           52           72           10
C84          D3           -28          6            20           52           72           10
C85          D2           24           -1           20           93           113          10
C86          D1           1            -1           10           172          192          10
C87          D2           1            15           10           52           72           10
C88          D1           0            0            10           25           45           10
C89          D1           -12          -1           20           147          167          10
C90          D1           3            0            10           195          215          10
C91          D1           -16          18           10           36           56           10
C92          D1           -4           -15          10           138          158          10
C93          D2           4            2            20           120          140          10
C94          D1           24           -10          10           230          250          10
C95          D3           -1           -2           20           153          173          10
C96          D2           -6           -12          20           182          202          10
C97          D3           -3           2            10           212          232          10
C98          D1           0            16           10           46           66           10
C99          D3           -4           10           10           183          203          10
C100         D1           -9           -4           10           218          238          10

Problem Variant                             : DELLAERT-2E-VRP
Distance Metric                             : RAW_EUCLIDEAN
Distance Divisor                            : 1.0
Customer Locations as Transfer Points       : false

First Echelon Vehicle number per depot      : 100
First Echelon Vehicle Capacity (kg)         : 200
First Echelon Vehicle Velocity (km/h)       : 60
First Echelon Vehicle Fixed Cost            : 50
First Echelon Vehicle Fixed Cost Basis      : PER_TOUR
First Echelon Vehicle Variable Cost (€/h)   : 0
First Echelon Vehicle Fuel Cost (€/km)      : 1.0

Second Echelon Vehicle number per parking   : 100
Second Echelon Vehicle Capacity (kg)        : 50
Second Echelon Vehicle Velocity (km/h)      : 60
Second Echelon Vehicle Fixed Cost           : 25
Second Echelon Vehicle Fixed Cost Basis     : PER_TOUR
Second Echelon Vehicle Variable Cost (€/h)  : 0
Second Echelon Vehicle Fuel Cost (€/km)     : 1.0
